sepallengthcm,sepalwidthcm,petallengthcm,petalwidthcm,petal_ratio,sepal_ratio,species,mapped_species
5.2,2.7,3.9,1.4,2.785714285714286,1.9259259259259258,iris-versicolor,1
5.9,3.0,4.2,1.5,2.8000000000000003,1.9666666666666668,iris-versicolor,1
6.0,2.2,4.0,1.0,4.0,2.727272727272727,iris-versicolor,1
6.1,2.9,4.7,1.4,3.3571428571428577,2.103448275862069,iris-versicolor,1
5.6,2.9,3.6,1.3,2.769230769230769,1.9310344827586206,iris-versicolor,1
6.7,3.1,4.4,1.4,3.1428571428571432,2.161290322580645,iris-versicolor,1
5.6,3.0,4.5,1.5,3.0,1.8666666666666665,iris-versicolor,1
5.8,2.7,4.1,1.0,4.1,2.148148148148148,iris-versicolor,1
6.2,2.2,4.5,1.5,3.0,2.818181818181818,iris-versicolor,1
5.6,2.5,3.9,1.1,3.545454545454545,2.2399999999999998,iris-versicolor,1
5.9,3.2,4.8,1.8,2.6666666666666665,1.84375,iris-versicolor,1
6.1,2.8,4.0,1.3,3.0769230769230766,2.1785714285714284,iris-versicolor,1
6.3,2.5,4.9,1.5,3.266666666666667,2.52,iris-versicolor,1
6.1,2.8,4.7,1.2,3.916666666666667,2.1785714285714284,iris-versicolor,1
6.4,2.9,4.3,1.3,3.3076923076923075,2.206896551724138,iris-versicolor,1
6.6,3.0,4.4,1.4,3.1428571428571432,2.1999999999999997,iris-versicolor,1
6.8,2.8,4.8,1.4,3.428571428571429,2.428571428571429,iris-versicolor,1
6.7,3.0,5.0,1.7,2.9411764705882355,2.2333333333333334,iris-versicolor,1
6.0,2.9,4.5,1.5,3.0,2.0689655172413794,iris-versicolor,1
5.7,2.6,3.5,1.0,3.5,2.1923076923076925,iris-versicolor,1
5.5,2.4,3.8,1.1,3.454545454545454,2.291666666666667,iris-versicolor,1
5.5,2.4,3.7,1.0,3.7,2.291666666666667,iris-versicolor,1
5.8,2.7,3.9,1.2,3.25,2.148148148148148,iris-versicolor,1
6.0,2.7,5.1,1.6,3.1874999999999996,2.222222222222222,iris-versicolor,1
5.4,3.0,4.5,1.5,3.0,1.8,iris-versicolor,1
6.0,3.4,4.5,1.6,2.8125,1.7647058823529411,iris-versicolor,1
6.7,3.1,4.7,1.5,3.1333333333333333,2.161290322580645,iris-versicolor,1
6.3,2.3,4.4,1.3,3.3846153846153846,2.739130434782609,iris-versicolor,1
5.6,3.0,4.1,1.3,3.1538461538461533,1.8666666666666665,iris-versicolor,1
5.5,2.5,4.0,1.3,3.0769230769230766,2.2,iris-versicolor,1
5.5,2.6,4.4,1.2,3.666666666666667,2.1153846153846154,iris-versicolor,1
6.1,3.0,4.6,1.4,3.2857142857142856,2.033333333333333,iris-versicolor,1
5.8,2.6,4.0,1.2,3.3333333333333335,2.230769230769231,iris-versicolor,1
5.0,2.3,3.3,1.0,3.3,2.173913043478261,iris-versicolor,1
5.6,2.7,4.2,1.3,3.230769230769231,2.074074074074074,iris-versicolor,1
5.7,3.0,4.2,1.2,3.5000000000000004,1.9000000000000001,iris-versicolor,1
5.7,2.9,4.2,1.3,3.230769230769231,1.9655172413793105,iris-versicolor,1
6.2,2.9,4.3,1.3,3.3076923076923075,2.137931034482759,iris-versicolor,1
5.1,2.5,3.0,1.1,2.727272727272727,2.04,iris-versicolor,1
5.7,2.8,4.1,1.3,3.1538461538461533,2.035714285714286,iris-versicolor,1
6.3,3.3,6.0,2.5,2.4,1.9090909090909092,iris-virginica,2
5.8,2.7,5.1,1.9,2.6842105263157894,2.148148148148148,iris-virginica,2
7.1,3.0,5.9,2.1,2.8095238095238098,2.3666666666666667,iris-virginica,2
6.3,2.9,5.6,1.8,3.1111111111111107,2.1724137931034484,iris-virginica,2
6.5,3.0,5.8,2.2,2.6363636363636362,2.1666666666666665,iris-virginica,2
7.6,3.0,6.6,2.1,3.1428571428571423,2.533333333333333,iris-virginica,2
4.9,2.5,4.5,1.7,2.6470588235294117,1.9600000000000002,iris-virginica,2
7.3,2.9,6.3,1.8,3.5,2.5172413793103448,iris-virginica,2
6.7,2.5,5.8,1.8,3.222222222222222,2.68,iris-virginica,2
7.2,3.6,6.1,2.5,2.44,2.0,iris-virginica,2
6.5,3.2,5.1,2.0,2.55,2.03125,iris-virginica,2
6.4,2.7,5.3,1.9,2.7894736842105265,2.3703703703703702,iris-virginica,2
6.8,3.0,5.5,2.1,2.619047619047619,2.2666666666666666,iris-virginica,2
5.7,2.5,5.0,2.0,2.5,2.2800000000000002,iris-virginica,2
5.8,2.8,5.1,2.4,2.125,2.0714285714285716,iris-virginica,2
6.4,3.2,5.3,2.3,2.3043478260869565,2.0,iris-virginica,2
6.5,3.0,5.5,1.8,3.0555555555555554,2.1666666666666665,iris-virginica,2
7.7,3.8,6.7,2.2,3.0454545454545454,2.0263157894736845,iris-virginica,2
7.7,2.6,6.9,2.3,3.0000000000000004,2.9615384615384617,iris-virginica,2
6.0,2.2,5.0,1.5,3.3333333333333335,2.727272727272727,iris-virginica,2
6.9,3.2,5.7,2.3,2.4782608695652177,2.15625,iris-virginica,2
5.6,2.8,4.9,2.0,2.45,2.0,iris-virginica,2
7.7,2.8,6.7,2.0,3.35,2.7500000000000004,iris-virginica,2
6.3,2.7,4.9,1.8,2.7222222222222223,2.333333333333333,iris-virginica,2
6.7,3.3,5.7,2.1,2.7142857142857144,2.0303030303030303,iris-virginica,2
7.2,3.2,6.0,1.8,3.333333333333333,2.25,iris-virginica,2
6.2,2.8,4.8,1.8,2.6666666666666665,2.2142857142857144,iris-virginica,2
6.1,3.0,4.9,1.8,2.7222222222222223,2.033333333333333,iris-virginica,2
6.4,2.8,5.6,2.1,2.6666666666666665,2.285714285714286,iris-virginica,2
7.2,3.0,5.8,1.6,3.6249999999999996,2.4,iris-virginica,2
7.4,2.8,6.1,1.9,3.2105263157894735,2.6428571428571432,iris-virginica,2
7.9,3.8,6.4,2.0,3.2,2.0789473684210527,iris-virginica,2
6.4,2.8,5.6,2.2,2.545454545454545,2.285714285714286,iris-virginica,2
6.3,2.8,5.1,1.5,3.4,2.25,iris-virginica,2
6.1,2.6,5.6,1.4,4.0,2.346153846153846,iris-virginica,2
7.7,3.0,6.1,2.3,2.6521739130434785,2.566666666666667,iris-virginica,2
6.3,3.4,5.6,2.4,2.3333333333333335,1.8529411764705883,iris-virginica,2
6.4,3.1,5.5,1.8,3.0555555555555554,2.064516129032258,iris-virginica,2
6.0,3.0,4.8,1.8,2.6666666666666665,2.0,iris-virginica,2
6.9,3.1,5.4,2.1,2.5714285714285716,2.2258064516129035,iris-virginica,2
6.7,3.1,5.6,2.4,2.3333333333333335,2.161290322580645,iris-virginica,2
6.9,3.1,5.1,2.3,2.217391304347826,2.2258064516129035,iris-virginica,2
5.8,2.7,5.1,1.9,2.6842105263157894,2.148148148148148,iris-virginica,2
6.8,3.2,5.9,2.3,2.565217391304348,2.125,iris-virginica,2
6.7,3.3,5.7,2.5,2.2800000000000002,2.0303030303030303,iris-virginica,2
6.7,3.0,5.2,2.3,2.2608695652173916,2.2333333333333334,iris-virginica,2
6.3,2.5,5.0,1.9,2.6315789473684212,2.52,iris-virginica,2
6.5,3.0,5.2,2.0,2.6,2.1666666666666665,iris-virginica,2
6.2,3.4,5.4,2.3,2.347826086956522,1.823529411764706,iris-virginica,2
5.9,3.0,5.1,1.8,2.833333333333333,1.9666666666666668,iris-virginica,2
